Store,Date,Total_Produce_Sales
S0036,2012-10-01,169755.6
S0038,2012-10-01,177903.88
S0039,2012-10-01,120382.09
S0040,2012-10-01,393009.94
S0041,2012-10-01,164321.6
S0042,2012-10-01,296917.15
S0043,2012-10-01,244066.04
S0044,2012-10-01,304436.21
S0045,2012-10-01,394558.28
S0046,2012-10-01,396262.65
S0047,2012-10-01,378372.29
S0048,2012-10-01,306846.25
S0049,2012-10-01,214734.58
S0051,2012-10-01,266241.48
S0052,2012-10-01,527301.8
S0053,2012-10-01,228535.06
S0054,2012-10-01,468926.79
S0055,2012-10-01,333917.85
S0056,2012-10-01,215543.74
S0058,2012-10-01,247011.87
S0059,2012-10-01,287325.04
S0060,2012-10-01,260106.95
S0061,2012-10-01,348622.61
S0062,2012-10-01,264238
S0063,2012-10-01,254401.38
S0064,2012-10-01,235059.49
S0065,2012-10-01,317528.5
S0066,2012-10-01,262491.79
S0067,2012-10-01,245439.83
S0068,2012-10-01,371890.99
S0069,2012-10-01,289826.22
S0070,2012-10-01,301401.52
S0071,2012-10-01,352012.22
S0072,2012-10-01,330795.51
S0073,2012-10-01,343616.92
S0074,2012-10-01,181102.47
S0075,2012-10-01,256811.35
S0076,2012-10-01,217828.17
S0077,2012-10-01,249558.28
S0078,2012-10-01,204481.5
S0079,2012-10-01,195889.69
S0080,2012-10-01,100285.93
S0081,2012-10-01,154496.18
S0082,2012-10-01,338479.27
S0083,2012-10-01,198024.89
S0084,2012-10-01,186924.84
S0085,2012-10-01,215196.42
S0001,2012-11-01,180675.77
S0002,2012-11-01,140931.96
S0003,2012-11-01,332345.77
S0004,2012-11-01,256572.76
S0005,2012-11-01,321247.84
S0006,2012-11-01,282580.56
S0007,2012-11-01,298463.65
S0008,2012-11-01,290973.48
S0009,2012-11-01,310637.56
S0010,2012-11-01,228078.87
S0011,2012-11-01,180989.64
S0012,2012-11-01,410648.84
S0013,2012-11-01,284384.13
S0014,2012-11-01,300016.32
S0015,2012-11-01,248735.78
S0016,2012-11-01,184324.3
S0017,2012-11-01,321201.05
S0018,2012-11-01,236110.18
S0019,2012-11-01,214928.95
S0020,2012-11-01,209478.73
S0021,2012-11-01,234966.47
S0022,2012-11-01,211478.15
S0023,2012-11-01,165197.88
S0024,2012-11-01,211087.73
S0025,2012-11-01,287826.4
S0026,2012-11-01,218008.84
S0027,2012-11-01,300639.39
S0028,2012-11-01,176166.52
S0029,2012-11-01,293727.38
S0030,2012-11-01,232556.21
S0031,2012-11-01,208350.22
S0033,2012-11-01,335920.83
S0034,2012-11-01,290304.87
S0035,2012-11-01,151969.9
S0036,2012-11-01,173441.76
S0038,2012-11-01,178876.12
S0039,2012-11-01,135276.01
S0040,2012-11-01,401135.08
S0041,2012-11-01,178755.62
S0042,2012-11-01,311550.17
S0043,2012-11-01,259848.09
S0044,2012-11-01,329980.11
S0045,2012-11-01,400660.51
S0046,2012-11-01,405489.98
S0047,2012-11-01,378463.46
S0048,2012-11-01,303186.94
S0049,2012-11-01,211606.61
S0051,2012-11-01,279352.24
S0052,2012-11-01,536921.4
S0053,2012-11-01,229319.75
S0054,2012-11-01,488902.95
S0055,2012-11-01,341918.79
S0056,2012-11-01,216357.01
S0058,2012-11-01,254298.97
S0059,2012-11-01,296142.44
S0060,2012-11-01,273578.01
S0061,2012-11-01,373975.62
S0062,2012-11-01,280387.34
